"5-Layer Dip Loaded Griller","330.0","108","46","0"
"7-Layer Burrito Bean","440.0","153","57","0"
"7-Layer Burrito Beef","450.0","180","50","0"
"7-Layer Burrito Chicken","430.0","153","49","0"
"7-Layer Burrito Steak","430.0","153","49","0"
"Bean Burrito","380.0","108","55","0"
"Bean Chalupa Supreme","370.0","171","37","0"
"Bean Cheesy Gordita Crunch","490.0","225","45","0"
"Bean Crunchwrap Supreme","540.0","171","77","0"
"Bean Crunchy Taco","160.0","63","20","0"
"Bean Crunchy Taco Supreme","190.0","81","22","0"
"Bean Fries Supreme","450.0","198","57","0"
"Bean Nachos Supreme","310.0","135","36","0"
"Bean Soft Taco","180.0","54","24","0"
"Bean Soft Taco Supreme","210.0","72","26","0"
"Beef Burrito","310.0","108","38","0"
"Beef Chalupa Supreme","370.0","198","30","0"
"Beef Crunchwrap Supreme","550.0","198","70","0"
"Beef Crunchy Taco","170.0","90","13","0"
"Beef Crunchy Taco Supreme","200.0","108","15","0"
"Beef Soft Taco","190.0","81","17","0"
"Beef Soft Taco Supreme","220.0","99","19","0"
"Burrito Supreme","420.0","144","51","0"
"Cheese Quesadlla","470.0","234","34","0"
"Cheesy Fries","360.0","162","45","0"
"Cheesy Gordita Crunch","500.0","252","39","0"
"Chicken Chalupa Supreme","350.0","180","28","0"
"Chicken Quesadilla","520.0","261","35","0"
"Chicken Soft Taco","180.0","63","17","0"
"Chili Cheese Burrito","380.0","162","38","0"
"Chili Cheese Fries","390.0","180","48","0"
"Chili Cheese Fries Loaded Griller","330.0","117","45","0"
"Churros","190.0","72","28","0"
"Cinnabon Delights (12 Pack - Serves 4)","930.0","477","104","0"
"Cinnabon Delights (2 Pack)","160.0","81","17","0"
"Cinnabon Delights (4 Pack)","310.0","162","35","0"
"Cinnamon Twists","170.0","54","27","0"
"Creamy Ranch Chicken Loaded Griller","360.0","153","36","0"
"Doritos Cheesy Gordita Crunch","500.0","252","38","0"
"Double Decker Taco","320.0","126","36","0"
"Double Decker Taco Supreme","350.0","144","38","0"
"Double Quesarito","740.0","351","68","0"
"Fresco Beef Burrito","290.0","90","37","0"
"Fresco Beef Crunchy Taco","150.0","72","14","0"
"Fresco Beef Soft Taco","170.0","63","18","0"
"Fresco Chicken Burrito Supreme","340.0","81","50","0"
"Fresco Chicken Soft Taco","150.0","45","16","0"
"Fresco Steak Burrito Supreme","340.0","81","50","0"
"Fresco Steak Soft Taco","150.0","41","17","0"
"Fries","300.0","126","41","0"
"Fries Supreme","420.0","198","49","0"
"Mexican Pizza","560.0","279","48","0"
"Meximelt","260.0","126","17","0"
"Mtn Dew Baja Blast (16 fl oz)","220.0","0","59","0"
"Mtn Dew Baja Blast (20 fl oz)","280.0","0","74","0"
"Mtn Dew Baja Blast (30 fl oz)","420.0","0","110","0"
"Nacho Cheese Doritos Locos Taco","170.0","90","13","0"
"Nacho Cheese Doritos Locos Taco Supreme","200.0","99","15","0"
"Nachos and Cheese","220.0","108","24","0"
"Nachos Supreme","280.0","144","28","0"
"Side of Fiesta Salsa","10.0","0","2","0"
"Side of Guacamole","70.0","54","3","1"
"Side of Jalapenos","0.0","0","1","0"
"Side of Nacho Cheese Sauce","60.0","36","5","0"
"Side of Reduced-Fat Sour Cream","50.0","32","3","0"
"Spicy Chicken Burrito","410.0","153","48","0"
"Spicy Chicken Crunchwrap Supreme","540.0","180","70","0"
"Spicy Chicken Soft Taco","160.0","45","18","0"
"Steak Chalupa Supreme","350.0","171","29","0"
"Steak Quesadilla","520.0","252","35","0"
"Steak Soft Taco","200.0","90","16","0"
"1792 Manhattan","210.0","0","6","0"
"Absolut Mandrin Crush","150.0","0","12","0"
"Alcatra","60.0","23","0","0"
"American Grana Cheese","110.0","63","0","0"
"Bacon Wrapped Jalapenos","110.0","81","2","1"
"Bahia Breeze","290.0","9","27","0"
"Bananas Foster Pie","790.0","324","111","0"
"Barbecued Pork Ribs","320.0","234","3","1"
"Beets","40.0","0","8","0"
"Braised Beef Ribs","270.0","216","0","1"
"Brazilian Black Beans (Feijoada)","50.0","9","6","0"
"Brazilian Cheese Bread","60.0","27","8","0"
"Brazilian Cheesecake","1020.0","513","110","0"
"Brazilian Flan","650.0","99","126","0"
"Brazilian Kiss","190.0","0","7","0"
"Brazilian Mojito","190.0","0","27","0"
"Brazilian Potato Salad","160.0","144","5","1"
"Brazilian Rose","330.0","0","44","0"
"Brazilian Salad","5.0","0","2","0"
"Brazilian Sausage","170.0","126","1","1"
"Brugal Mojito Royale","270.0","0","36","0"
"Buffalo Mozzarella","110.0","90","0","1"
"Cabbage Salad","25.0","18","2","1"
"Caipirinha","190.0","0","27","0"
"Caipirinha - Coconut","250.0","9","39","0"
"Caipirinha - Mango","240.0","0","39","0"
"Caipirinha - Passion Fruit","240.0","0","39","0"
"Caipirinha - Strawberry","240.0","0","39","0"
"Caperberries","0.0","0","0","0"
"Capers","0.0","0","0","0"
"Caramelized Sweet Onions","10.0","0","2","0"
"Carnaval","230.0","0","29","0"
"Carrot Cake","1550.0","792","176","0"
"Chicken Breast Wrapped in Bacon","140.0","41","0","0"
"Chicken Salad","200.0","153","2","1"
"Chimichurri Sauce","80.0","72","1","1"
"Chocolat' Com Vanilla","290.0","45","32","0"
"Chocolate Mousse Cake","1020.0","468","127","0"
"Ciabatta","70.0","9","15","0"
"Cipollini Onions","20.0","0","5","0"
"Coconut Chess Pie","420.0","162","61","0"
"Coconut Chess Pie a la Mode","650.0","270","89","0"
"Coffee Liqueur (53 Proof)","180.0","0","24","0"
"Coffee Liqueur (63 Proof)","160.0","0","17","0"
"Coffee with Cream Liqueur (34 Proof)","150.0","63","10","0"
"Cornichons","0.0","0","0","0"
"Couscous Salad","80.0","23","14","0"
"Cream of Jalapeno Soup","260.0","198","11","0"
"Creme Brulee","520.0","279","50","0"
"Creole Mustard Sauce","35.0","4.5","6","0"
"Crispy Bacon","20.0","18","0","1"
"Crostinis","25.0","0","4","0"
"Croutons","25.0","9","4","0"
"Cucumber Salad","70.0","54","5","1"
"Deep Eddy Lemon Drop","300.0","0","34","0"
"Diamante Passion Fruit Margarita","260.0","0","35","0"
"Dressing - Bleu Cheese","130.0","126","0","1"
"Dressing - Brazilian Vinaigrette","30.0","18","1","0"
"Dressing - Italian Balsamic Vinaigrette","160.0","144","4","1"
"Dressing - Ranch","100.0","90","2","1"
"Espresso Delight","200.0","36","8","0"
"Farofa","50.0","32","5","0"
"Filet Mignon","130.0","63","0","0"
